hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,city
Resort Hotel - Bhopal,0,113,2024,February,5,4,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,Transient-Party,82.88,0,2,Check-Out,44:00.8,Bhopal
Resort Hotel - Mumbai,0,90,2024,April,16,19,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,Contract,82.35,0,0,Check-Out,05:43.4,Mumbai
Resort Hotel - Goa,0,50,2024,December,52,28,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241,Transient,119.35,0,1,Check-Out,38:05.0,Goa
Resort Hotel - Mumbai,0,113,2024,March,12,24,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,Transient-Party,67.58,0,2,Check-Out,58:24.8,Mumbai
Resort Hotel - Ahmedabad,0,93,2024,January,4,26,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,Contract,56.01,0,0,Check-Out,57:55.0,Ahmedabad
Resort Hotel - Lucknow,0,76,2024,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243,Contract,110.7,0,0,Check-Out,10:57.5,Lucknow
Resort Hotel - Pune,0,3,2024,August,35,27,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,88.2,1,0,Check-Out,32:09.3,Pune
Resort Hotel - Bhopal,0,1,2024,November,45,5,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,Transient,147,1,0,Check-Out,41:04.4,Bhopal
Resort Hotel - Bangalore,0,1,2024,January,4,27,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,Transient,107,1,2,Check-Out,28:03.0,Bangalore
Resort Hotel - Bangalore,0,0,2024,July,29,15,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,Transient,147,0,0,Check-Out,48:17.5,Bangalore
Resort Hotel - Delhi,0,0,2024,October,42,14,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,Transient,117.9,0,2,Check-Out,02:31.8,Delhi
Resort Hotel - Mumbai,0,0,2024,November,47,21,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,Transient,123,0,0,Check-Out,30:06.6,Mumbai
Resort Hotel - Chennai,0,14,2024,May,18,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242,Transient,98,0,1,Check-Out,57:37.4,Chennai
Resort Hotel - Delhi,0,10,2024,August,32,10,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,Transient,117.81,0,0,Check-Out,58:00.4,Delhi
Resort Hotel - Jaipur,0,5,2024,May,22,30,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,135,1,2,Check-Out,34:34.1,Jaipur
Resort Hotel - Delhi,0,17,2024,May,18,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250,Transient,133,0,1,Check-Out,38:44.5,Delhi
Resort Hotel - Kochi,0,93,2024,July,27,6,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115,Contract,58.95,0,0,Check-Out,11:35.2,Kochi
Resort Hotel - Kochi,1,3,2024,July,31,31,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,136.33,0,2,Canceled,40:05.7,Kochi
Resort Hotel - Chandigarh,0,10,2024,November,47,23,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240,Transient,153,1,0,Check-Out,44:37.8,Chandigarh
Resort Hotel - Lucknow,0,3,2024,January,2,8,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,110.5,0,0,Check-Out,28:40.3,Lucknow
Resort Hotel - Kochi,0,51,2024,June,22,2,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,Transient,97,0,0,Check-Out,23:15.7,Kochi
Resort Hotel - Chandigarh,1,71,2024,August,34,25,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,Transient,110.3,0,2,Canceled,32:06.8,Chandigarh
Resort Hotel - Kolkata,1,63,2024,February,5,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,82,0,2,Canceled,08:45.2,Kolkata
Resort Hotel - Kolkata,1,62,2024,September,36,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,97,0,1,Canceled,07:46.2,Kolkata
Resort Hotel - Jaipur,1,101,2024,August,35,30,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,73.8,0,1,Canceled,53:26.1,Jaipur
Resort Hotel - Jaipur,0,2,2024,October,43,24,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,Transient,91.5,0,0,Check-Out,05:52.4,Jaipur
Resort Hotel - Ahmedabad,0,15,2024,December,1,30,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,114.5,0,0,Check-Out,54:44.2,Ahmedabad
Resort Hotel - Lucknow,1,51,2024,February,7,12,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,Transient,110.3,0,0,Canceled,25:23.5,Lucknow
Resort Hotel - Lucknow,0,3,2024,August,33,14,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,90.9,1,0,Check-Out,34:59.4,Lucknow
Resort Hotel - Kochi,1,48,2024,January,1,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,123,0,0,Canceled,37:40.0,Kochi
Resort Hotel - Mumbai,0,2,2024,July,27,6,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,122,0,0,Check-Out,51:50.7,Mumbai
Resort Hotel - Chennai,0,72,2024,January,4,25,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105,Transient,110.7,1,0,Check-Out,05:59.8,Chennai
Resort Hotel - Bhopal,0,81,2024,May,21,20,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,Transient,85.86,0,0,Check-Out,46:58.5,Bhopal
Resort Hotel - Kolkata,0,99,2024,August,33,12,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,Contract,58.95,0,0,Check-Out,47:06.6,Kolkata
Resort Hotel - Jaipur,1,368,2024,December,52,28,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,Contract,55.68,0,0,Canceled,24:52.6,Jaipur
Resort Hotel - Pune,0,364,2024,November,45,9,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,Contract,55.68,0,0,Check-Out,53:00.2,Pune
Resort Hotel - Jaipur,1,81,2024,May,22,27,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250,Transient,124,0,1,Canceled,26:51.4,Jaipur
Resort Hotel - Pune,0,99,2024,October,42,20,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,Contract,111.15,0,0,Check-Out,48:46.2,Pune
Resort Hotel - Jaipur,0,324,2024,March,12,22,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,Contract,134.73,0,0,Check-Out,02:51.8,Jaipur
Resort Hotel - Bhopal,0,69,2024,November,48,30,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241,Transient,92.45,0,1,Check-Out,47:17.8,Bhopal
Resort Hotel - Chandigarh,1,79,2024,February,9,26,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,Transient,108.73,0,2,Canceled,09:50.9,Chandigarh
Resort Hotel - Chennai,0,12,2024,June,24,13,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,73.8,0,0,Check-Out,51:50.2,Chennai
Resort Hotel - Delhi,0,9,2024,September,39,25,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,98,1,2,Check-Out,30:42.0,Delhi
Resort Hotel - Chennai,0,1,2024,September,36,6,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,131,0,1,Check-Out,13:59.1,Chennai
Resort Hotel - Ahmedabad,0,21,2024,May,18,5,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,123,0,0,Check-Out,07:36.3,Ahmedabad
Resort Hotel - Delhi,0,9,2024,September,39,24,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241,Transient,94.71,0,0,Check-Out,32:14.7,Delhi
Resort Hotel - Hyderabad,0,109,2024,August,33,17,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,123,0,2,Check-Out,40:47.7,Hyderabad
Resort Hotel - Bangalore,1,109,2024,September,36,6,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,123,0,1,Canceled,20:52.9,Bangalore
Resort Hotel - Bhopal,1,72,2024,March,12,21,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,73.8,0,1,Canceled,53:20.0,Bhopal
Resort Hotel - Hyderabad,1,63,2024,September,38,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242,Transient,117,0,1,Canceled,53:24.1,Hyderabad
Resort Hotel - Hyderabad,0,63,2024,November,47,21,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105,Transient,196.54,0,1,Check-Out,02:55.4,Hyderabad
Resort Hotel - Lucknow,0,101,2024,January,3,21,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,99.3,1,2,Check-Out,19:50.8,Lucknow
Resort Hotel - Mumbai,0,102,2024,January,1,2,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250,Transient,90.95,0,0,Check-Out,06:59.2,Mumbai
Resort Hotel - Chandigarh,0,4,2024,August,32,5,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,Transient,92.67,0,1,Check-Out,56:09.2,Chandigarh
Resort Hotel - Lucknow,0,98,2024,April,16,15,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,Transient,71.55,1,0,Check-Out,14:23.9,Lucknow
Resort Hotel - Ahmedabad,0,92,2024,May,18,1,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241,Transient,96.49,0,2,Check-Out,55:45.8,Ahmedabad
Resort Hotel - Indore,0,95,2024,September,37,10,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient,85.8,1,2,Check-Out,51:19.8,Indore
Resort Hotel - Kochi,0,102,2024,September,38,16,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,96.3,0,1,Check-Out,43:20.0,Kochi
Resort Hotel - Jaipur,1,26,2024,February,7,16,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,Transient,163,0,0,Canceled,29:17.3,Jaipur
Resort Hotel - Lucknow,1,73,2024,December,51,16,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,Transient,172,0,1,Canceled,59:20.6,Lucknow
Resort Hotel - Goa,1,102,2024,April,14,6,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,110.7,0,1,Canceled,34:20.3,Goa
Resort Hotel - Hyderabad,0,115,2024,June,23,9,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,Transient,58.95,0,1,Check-Out,58:22.7,Hyderabad
Resort Hotel - Chennai,0,102,2024,December,52,24,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,73.8,0,2,Check-Out,18:26.2,Chennai
Resort Hotel - Bangalore,0,86,2024,June,26,28,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,97,0,2,Check-Out,17:00.1,Bangalore
Resort Hotel - Kochi,0,78,2024,November,45,8,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,Transient,139,0,2,Check-Out,41:50.4,Kochi
Resort Hotel - Chandigarh,0,52,2024,May,21,25,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147,Transient,67.24,0,0,Check-Out,12:20.2,Chandigarh
Resort Hotel - Goa,0,29,2024,May,20,13,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,Transient,116.5,0,1,Check-Out,56:22.8,Goa
Resort Hotel - Delhi,1,101,2024,April,15,14,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,96.3,0,1,Canceled,57:41.8,Delhi
Resort Hotel - Delhi,0,109,2024,January,4,23,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,123,0,1,Check-Out,57:22.6,Delhi
Resort Hotel - Delhi,0,92,2024,May,22,27,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,Contract,71.55,0,1,Check-Out,14:17.1,Delhi
Resort Hotel - Mumbai,0,92,2024,September,36,7,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,Contract,71.55,0,1,Check-Out,25:52.4,Mumbai
Resort Hotel - Bangalore,0,79,2024,January,5,30,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250,Transient,149,0,1,Check-Out,55:46.6,Bangalore
Resort Hotel - Ahmedabad,0,2,2024,October,40,3,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240,Transient,163,1,0,Check-Out,51:42.1,Ahmedabad
Resort Hotel - Bangalore,0,30,2024,January,1,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8,Contract,79.5,0,0,Check-Out,04:40.2,Bangalore
Resort Hotel - Chennai,1,51,2024,December,51,18,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,105,0,0,Canceled,20:10.3,Chennai
Resort Hotel - Bangalore,1,36,2024,November,45,7,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250,Transient,123,0,0,No-Show,41:45.0,Bangalore
Resort Hotel - Ahmedabad,1,73,2024,June,22,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,73.8,0,2,Canceled,09:19.7,Ahmedabad
Resort Hotel - Bhopal,1,33,2024,July,30,22,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,Transient,113,0,0,Canceled,12:58.2,Bhopal
Resort Hotel - Delhi,0,32,2024,May,20,17,0,1,4,0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,,Transient,0,0,1,Check-Out,18:31.3,Delhi
Resort Hotel - Jaipur,0,8,2024,January,2,10,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,Transient,123,0,0,Check-Out,51:29.8,Jaipur
Resort Hotel - Goa,0,100,2024,July,30,22,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient-Party,73.8,1,1,Check-Out,15:57.8,Goa
Resort Hotel - Pune,0,1,2024,October,40,1,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient,114.5,0,0,Check-Out,58:33.5,Pune
Resort Hotel - Bhopal,0,100,2024,July,30,26,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,Transient-Party,73.8,0,2,Check-Out,22:46.0,Bhopal
Resort Hotel - Chandigarh,0,100,2024,August,33,17,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,Transient-Party,73.8,0,1,Check-Out,06:34.4,Chandigarh
